159,"Віскі Bushmills Original",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
299,"Вiскі Old Pulteney, 12 years",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
349,"Вiскі Glenmorangie, The Original, 10 years",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
89,"Горілка Opaline",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
129,"Горілка Staritsky&Levitsky",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
129,"Ром Don Q",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
299,"Ром Matusalem Gran Reserva, 15 years",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
259,"Коньяк Maxime Trijol VS",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
399,"Коньяк Hine Rare VSOP",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
369,"Коньяк Remy Martin VSOP",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
139,"Текіла Olmeca Blanco",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
159,"Текіла Olmeca Reposado",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
159,"Джин Tanqueray London Dry",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
229,"Джин Hendrick’s",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
219,"Граппа Albana Invecchiata (Crude)",50 г,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
319,"Граппа Valdavi Moscato (Paolo Berta)",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
269,"Граппа Shiraz (Casale del Giglio)",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
329,"Граппа La Rosa, Grappa di Barolo (Fontanafredda)",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
179,"Кальвадос Christian Drouin",50 мл,"null","null","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
89,"Herbal Liqueur (Boomsma)",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
129,"Amaro Vecchio del Capo (Caffo)",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
129,"Limoncello",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
99,"Amaro Lucano",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
149,"Amaro Tosolini (Bepi Tosolini)",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
139,"Fernet Branca",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
129,"Amaro Montenegro",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
129,"San Marzano, Borsci",50 мл,"null","digestif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
119,"Aperol",50 мл,"null","aperitif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
119,"Campari",50 мл,"null","aperitif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
119,"Dolin Bianco",50 мл,"null","aperitif","АЛКОГОЛЬ","МІЦНИЙ АЛКОГОЛЬ"
